10059837;Xiaoli Ding
10061961;Shuji Hashimoto
10062879;Shahin Nazarian
10063704;Sung Shik Koh
10064467;Giorgos Flouris
10064469;Danilo Caivano
10064594;Wen-Tsuen Chen
10064685;D. K. R. Babajee
10066001;Amiya Kumar Pani
10072880;Nada Almasri
10085433;Albert Ali Salah
10085774;Alireza Tavakkoli
10085887;Pradip K. Sinha
10087955;Pablo Tamayo
10089575;Koji Shibuya
10089627;Tielin Shi
10089633;Efuwa A. Quansah
10090221;Thomas Juettemann
10091865;Habib F. Rashvand
10093101;Maia Angelova
10093518;Bo Yu 0006
10093770;Jiliang Wang
10095294;Rajeev Kumar 0007
10095826;Eric W. T. Ngai
10097317;Yangyang Hou
10097425;E. Y. Hsu
10098706;R. S. Ahluwalia
10100070;Xiangqin Wei
10102716;Daniele Cesarini
10106203;Marta Betti
10111055;Antonio Maconi
10111943;Marinella Bertolotti
10126483;B. J. Jeong
10129226;Y.-J. An
10131460;María-Aurora Martínez
10133090;S.-D. Kim
10134730;Yanlin Chen
10134915;Teijo Arponen
10135771;Saif Al-Kuwari
10136380;Florian Fabre
10136735;Hyun-Chul Kim
10137906;Yolanda Blanco-Fernández
10139520;S. Jaziri
10139629;Mohammad Nazir Ahmad
10139760;R. Meaille
10144274;Woo Chul Jeong
10144638;Jill P. Mesirov
10144838;Eric Stofsky
10146243;Mohammad Ranjbar
10146413;Sören Bartels
10148171;Jiangtao Li 0001
10148553;Tormod Selbekk
10151820;Ferdinando Di Martino
10151855;Derek A. Holton
10152651;Tianhai Tian
10153676;S. Sakamoto
10153976;Akira Hirose
10154158;Shyam S. Agrawal
10155393;Shukui Tan
10158444;Sung Woo Byun 0001
10161539;Fakhar Shahzad
10162248;Yumeng Su
10165054;Lifeng Li
10167368;K. Vajravelu
10169702;Hubert Vogten
10171248;Hugo Hammer
10171999;Ling-ge Jiang
10173562;Andreas Pecht
10180570;Ketan Jha
10180840;Zeng-Yuan Guo
10184127;Asriel U. Levin
10184349;Francisco Rubio 0001
10185043;Yuki Yamashita
10185717;Hideyuki Sawada
10187041;Xuyu Wang
10187056;Yunhao Liu
10188227;Chris Mayor
10189499;Changyin Wu
10189820;John Conlisk
10190667;Yang-Wai Chow
10191418;Yonggang Zhang
10191795;José Juan Pazos-Arias
10192292;Linlin Li 0005
10193248;Robert Ball
10193347;Jitender Verma
10197147;Sophie H. Janacek
10199063;Mohammed A. Amasha
10201516;Saumya Bajpai
10203790;Emily Perry
10205045;Giuseppe Di Modica
10205308;Fei Wang 0058
10207486;Miaomiao Tian 0001
10208984;Francesca Vatta
10209154;József Solymosi
10209606;Liuqing Yang 0001
10209713;Keiichiro Hoashi
10211052;Sebastian Zambanini
10212058;Shiwen Mao
10212266;Lior Pachter
10218239;Hong-June Park
10218756;Mohammad Reza Meybodi
10218855;Marina Núñez
10219049;Alan C. Tribble
10219068;S. Nagaike
10223740;Hisashi Ishihara
10225452;Alessandro Vullo
10226824;Leslie D. Pérez-Fernández
10229653;Chun-Jung Chiu
10230078;Li-Li Zhai
10238931;Hanbyul Choi
10240195;Saúl Iván Beristain
10241850;Chaerin Hong
10243920;Oscar Alberto Santana
10244111;Richard C. T. Lee
10244441;Nathan Linial
10244548;John C. S. Lui
10244776;Rosa M. M. Leão
10244935;Seonah Lee
10244936;Pablo E. Martínez López
10246652;Seungkeun Park
10247305;Andrew J. Bernoff
10247486;Y. Liu
10249278;Xiao Yu
10249629;Ke-Jia Chen
10249940;H. Matsuzaki
10250661;Ruey-Shun Chen
10250748;Yun-rui Gong
10250958;Andrei Popescu 0001
10251434;Jürgen Bajorath
10251649;Henrik Bohr
10251721;Ardeshir Bahreininejad
10253694;Zhenyong Zhang
10255791;Christian Esposito
10265929;Hai Deng
10266349;Kensuke Sato
10267868;Fred T. Krogh
10269685;David A. Dixon
10269960;Bertrand Estellon
10270011;Xu Lin
10270862;Ching H. Tong
10271465;David F. Burke
10271874;Tamer Khattab
10273279;Takuya Kojima
10273799;Jiang Yu
10275061;Jean Pierre Delmas
10275286;N. Honda
10283490;Tobias Dietz
10285579;Jennifer M. Kloss
10287131;C. J. Rhodes
10288632;Juyun Wang
10289609;Aatira G. Nedungadi
10290010;Junichi Nakayama
10291671;Laurent Gosse
10292528;Michael Angelo
10293446;P. Jones
10298549;Peer Ueberholz
10299064;Chun-Na Li
10300944;Linsong Cheng
10301327;Jingzhe Wang
10301466;Christoph Gote
10319327;Nikoleta Tsampanaki
10322144;Mingxu Wang
10330313;Josef Paul
10332805;Shahbaz Afzal
10334649;Weimin Zheng
10336495;Satyaveer Singh Chauhan
10337871;Carles Rafels
10341945;Michael Y. Hu
10343244;Charles A. Kamhoua
10343543;Hsin-Yi Chang
10343634;H. Kubodera
10343899;Alpeshkumar K. Malde
10348142;Stefano Starita
10354339;Herbert Bos
10354932;Sandy J. J. Gould
10356889;James Lam
10358596;Christos G. Tsinos
10358905;Geirmund Unsgård
10359827;Antonio López
10362600;Jean-Marc Le Lann
10363395;Dennis W. Bennett
10366156;Yasuhiko Tamura
10366809;Zhong Chen 0001
10368770;Andreas K. Kähäri
10369466;D. Palomar
10369639;Yoram Bachrach
10371042;Donglai Zhu
10371478;Seok-Pil Lee
10372009;Stefan Marks
10375080;Juan Ares
10384209;Kyungmin Lee
10392047;Mingyan Li
10392456;Dimitris K. Tsolis
10392688;Masao Yokoyama
10394002;M. Ridwan Amode
10394782;Fagen Li
10396056;Klimis S. Ntalianis
10398756;Denise Carvalho-Silva
10399613;Ad Klaassen
10399755;Shigeru Matsuo
10400287;Arne J. Glenstrup
10402913;Katsuhiko Shirai
10404156;Jaewook Lee 0002
10405061;Toshio Morita
10407456;Tao Yang
10409661;Wenji Zhao
10410612;Abhishek Kumar
10411747;Jonathan Clarke
10415693;P. Martin-Smith
10417428;Joao Victor Bruneti Severino
10419886;William Michael Landau
10426492;Weizhong Yan
10427168;Magali Ruffier
10427188;T. Kurata
10427641;Yen-Jen Chen
10427773;Naoyuki Onoe
10429179;Kaihua Liu
10432127;Victor Chen
10433401;Joseph Cheriyan
10433873;Miyako Kusano
10433981;Kieron R. Taylor
10435301;Zhenyu Wu
10435390;Tzren-Ru Chou
10436582;Tianqing Zhu
10438479;Neil A. Dodgson
10439127;Joseph DiPietro
10440948;Asgeir S. Jakola
10443146;Feng Huang
10443861;Jeha Ryu
10445695;Bogdan Korel
10449226;Peter Clapham
10450362;Ismat Beg
10450833;Jianbin Qiu
10451032;Wei Wu 0023
